Syllable/Combination,汉字
ca2A|35,鑔镲衩茶䊬查
ca3A|33,诧詫衩紁㣾㤞䖳侘咤奼姹岔杈汊
ca2B|13,蹅叉
za1A|55,㗬𠾵齄齇齟龃髽觰譇膼簻糌皶皻砟碴猹㦋㪥䐒䵙䶥倃偺吒咋咱喒喳奓抓抯挓挝揸摣撾柤查査楂樝檛泟浾渣
za3B|22,𧨊𩿞膪耫㡸乍奓宱嵖拃柞
za2A|35,𠾵鮓鮺鲊鲝踷苴砟㷢䋾䕢䱹咋揸
za2B|13,𠾵
za3A|33,鮓鲊醡诈詐蚱蜡苲笮砟痄煠溠灹炸䃎䄍䆛䒲䖳乍偧厏吒咋咤奓拃搾柞榨
kwa1A|55,㐄銙跨誇舿䓙䠸䯞侉咵垮夸姱
kwa3A|33,骻髁跨罣胯挂挎掛
kwa2A|35,骻褂㡁侉咵
ga1A|55,㔔㔖㖙㚙𥑆𧊀𩶛𠺢𠏼𣺊𡩅麚𡣗𤀺𤐵鴐鴚鎵钆镓釓鉫迦豭貑跏袈葭腵茄耞糘笳痂犌猳珈㠰㹢䂟䈔䕒䪪䴥乫伽假傢加嘉嘎嘠噶家尕尜架枷椵毠泇
ga2B|13,㗇
ga3A|33,㗎𡃉𢱌𣕧駕驾賈贾稼价假價加咖嫁家幏架榢
ga1B|21,㗎
ga2A|35,㗎𠿪𠺢駕驾賈贾瘕玍䑝假叚嘏夏婽徦斚斝架椵榎槚檟
sa1A|55,魦鯊鯋鲨髿裟莎粆紗纱砂硰痧猀㠺㲚㸺䣉䤬䩖乷些仨唦挱挲桬沙
sa3A|33,閯誜嗄
sa2A|35,訯耍纚灑倽啥洒
ta1A|55,铊鉈祂牠他咜她它怹
ma3B|22,㐷鬕駡骂蚂螞罵祃禡犸獁㾺䘞䧞傌杩榪
ma3A|33,㐷駡骂罵傌吗嗎嘛
ma2B|13,𥡗鰢鷌馬马鎷遤螞蚂码碼瑪犸獁玛溤䣕䣖吗嗎妈媽杩榪
ma1B|21,麻蟆蟇蔴痲痳犘㦄䗫䲈䳸嘛妈媽嫲嬤嬷
ma2A|35,麻码碼妈媽
ma1A|55,𡚸馬马蚂螞狕么吗嗎嘛嚜妈媽嬤嬷孖摩
na2B|13,㑚㖠𦰡𤥶郍那哪
na1A|55,𤶸𤸻𢲡𠸎那南哪
na1B|21,鎿镎那㧱䛔南哪嗱娜拏拿挐梛
na3B|22,䏧
na2A|35,乸拿
na3A|33,吶呐
la2B|13,㑚㖠𦰡𤥶郍那藞哪喇揦
la1A|55,㖸𤶸𤸻𢲡𠸎鞡那砬磖剌南哪啦喇嘞垃旯
la3A|33,㙤𡅈鎼鏬罅吶呐啦喇嘑嘞嚹揦
la2A|35,𢲡乸啦拿揦
la1B|21,鎿镎那㧱䛔南哪啦嗱嚹娜拏拿挐梛
la3B|22,䏧
ha1A|55,㗇𧇍𧎚鰕颬铪閕閜鉿谺蛤蝦虾疨下吓哈嚇岈暇
ha3A|33,㙈懗
