Syllable/Combination,汉字
ren1B|24,壬任人仁仍
ren2|212,忍刃仍荏稔
ren3|44,任紝刃認韌仞飪妊軔
gen1A|31,今跟根更粳庚羹耕賡
gen2|212,哽埂梗耿鯁
gen3|44,更亙
ken1A|31,坑吭鏗
ken2|212,懇墾齦肯
hen1A|31,亨哼
hen1B|24,痕恆衡珩蘅
hen2|212,很狠
hen3|44,恨橫
yan1A|31,淹閹腌焉煙燕胭嫣湮偃
yan1B|24,巖炎鹽閻簷嚴顔延筵言研沿妍蜒芫
yan2|212,掩魘儼眼演兗奄衍鼴
yan3|44,驗厭豔焰雁諺堰硯燕嚥宴唁贗饜
bian1A|31,鞭編邊鯿煸
bian2|212,貶扁匾鯿砭
bian3|44,便辨辯變汴辮遍卞弁
pian1A|31,篇偏翩
pian1B|24,便駢
pian3|44,騙片
mian1B|24,綿棉眠
mian2|212,免勉娩緬澠沔冕靦
mian3|44,面麵
dian1A|31,掂顛踮巔癲
dian2|212,點典碘
dian3|44,店電殿奠佃墊惦甸玷澱靛癜
tian1A|31,添天
tian1B|24,甜田塡滇恬闐
tian2|212,舔腆忝殄
tian3|44,掭
lian1A|31,拈
lian1B|24,黏廉鐮簾連聯年憐蓮鰱奩鯰漣褳臁
lian2|212,臉碾撚攆研璉
lian3|44,斂殮念練鍊楝戀鏈
zian1A|31,尖煎箋
zian2|212,剪譾翦
zian3|44,漸踐箭濺賤餞薦僭
cian1A|31,殲籤簽遷千纖阡扡釺
cian1B|24,潛錢前選撏
cian2|212,淺
cian3|44,倩塹茜
sian1A|31,仙鮮先秈
sian2|212,癬冼跣蘚
sian3|44,線羡腺
jian1A|31,監兼搛艱間奸肩堅緘菅蒹
jian2|212,減鹻檢儉簡襇柬揀澗趼撿瞼
jian3|44,鑑艦劍間諫鐧件鍵建薦見徤
qian1A|31,牽鉛騫慳愆
qian1B|24,鉗乾虔掮黔箝
qian2|212,遣譴繾
qian3|44,嵌欠謙歉芡
xian1A|31,掀鍁纖
xian1B|24,咸鹹銜嫌閒涎賢弦嫻癇
xian2|212,險顯蜆
xian3|44,陷餡限莧憲獻現縣
ang1A|31,庵安鞍骯鵪氨諳桉
ang1B|24,昂
ang2|212,俺
ang3|44,暗岸按案黯盎
bang1A|31,班斑頒扳爿般搬幫邦浜擘癍梆瘢
bang2|212,板版榜綁膀阪鈑舨
bang3|44,扮瓣辦伴拌半絆謗傍棒蚌磅鎊
pang1A|31,攀潘乓
pang1B|24,盤滂旁螃傍彷龐膀髈磐蹣蟠
pang3|44,盼襻絆判叛肨袢髈泮
mang1A|31,蠻
mang1B|24,蠻瞞饅忙芒茫盲氓鰻
mang2|212,滿莽蟒蟎
mang3|44,慢漫幔蔓曼謾
fang1A|31,帆藩翻番方芳坊蕃幡
fang1B|24,凡煩礬繁肪妨房防樊蘩魴
fang2|212,泛翻反倣紡仿彷訪返
fang3|44,犯販飯放坊梵舫
dang1A|31,耽擔丹單當襠眈鄲聃殫簞
dang2|212,膽撣黨擋檔
dang3|44,擔淡彈誕旦但蛋當蕩宕檔憚氮碭啖澹
tang1A|31,貪坍灘攤湯癱
tang1B|24,潭譚談痰檀壇彈堂棠唐糖塘搪曇覃膛溏瑭鏜罈
tang2|212,毯坦倘躺淌儻忐袒
tang3|44,探炭嘆燙趟碳
lang1B|24,南男藍籃欖難蘭攔欄囊郎廊狼螂婪瀾榔楠琅鋃斕
lang2|212,覽攬欖纜懶卵曩朗攮襤罱
lang3|44,濫爛浪讕齉
zang1A|31,簪贓髒
zang2|212,攢咱昝
zang3|44,暫鏨蘸贊藏葬臟瓚奘
cang1A|31,參餐倉蒼艙滄䱗
cang1B|24,蠶慚殘藏孱
cang2|212,慘
cang3|44,璨粲
sang1A|31,三桑喪
sang2|212,散傘磉嗓饊
sang3|44,散喪
zhang1A|31,沾粘瞻氈張章樟獐詹彰漳劗
zhang2|212,斬展長漲掌嶄輾
zhang3|44,暫站佔綻盞棧戰丈仗杖帳賬脹障瘴湛幛蟮嶂淬劗
chang1A|31,攙昌菖摻猖娼悵鯧
chang1B|24,讒饞蟾纏蟬禪長腸場常嘗償孱嫦潺徜嬋
chang2|212,鏟產場廠敞闡氅諂
chang3|44,顫裳暢唱倡懺悵
shang1A|31,杉衫珊山删疝商傷舢煽贍殤墒跚觴苫熵
shang2|212,陝閃賞晌
shang3|44,羶善扇膳裳上尚騸鱔緔訕汕擅埏繕嬗
rang1A|31,嚷
rang1B|24,然燃瓤髯禳
rang2|212,染冉壤攘嚷
rang3|44,讓
gang1A|31,甘柑泔尷肝竿乾間岡剛綱鋼缸肛疳罡坩
gang2|212,感敢橄桿稈擀趕崗港鳡
gang3|44,幹杠贛紺
kang1A|31,堪龕勘看刊康糠伉戡
kang1B|24,扛
kang2|212,坎砍慷檻侃
kang3|44,抗炕亢瞰闞
hang1A|31,蚶憨酣鼾夯
hang1B|24,含函寒韓行航杭絎邯吭晗邗菡
hang2|212,喊罕
hang3|44,撼憾罕旱漢汗銲翰莧捍悍頷瀚沆
yang1A|31,央秧殃鴦泱鞅
yang1B|24,羊洋楊陽揚瘍佯
yang2|212,養癢氧
yang3|44,烊樣恙怏漾
liang1A|31,娘
liang1B|24,娘良涼量糧梁粱釀
liang2|212,兩仰倆魎
liang3|44,釀亮諒輛晾踉
ziang1A|31,將漿
ziang2|212,將蔣獎槳
ziang3|44,將蔣醬匠
ciang1A|31,槍嗆鏘戕
ciang1B|24,牆詳祥薔檣翔
ciang2|212,搶
ciang3|44,嗆熗蹌
siang1A|31,相箱廂湘襄鑲驤
siang2|212,想鮝
siang3|44,相象像橡
jiang1A|31,剛疆僵薑繮姜江豇
jiang2|212,講
jiang3|44,強降犟絳
qiang1A|31,羌腔蜣
qiang1B|24,強繈
qiang2|212,強
xiang1A|31,香鄉
xiang1B|24,降
xiang2|212,享響餉饗
xiang3|44,向項巷
wang1A|31,豌彎灣汪
wang1B|24,桓完丸玩頑亡王紈烷
wang2|212,皖碗腕晚挽宛網枉往惋綰蜿惘琬魍
wang3|44,萬忘妄望旺
duang1A|31,端
duang2|212,短
duang3|44,斷鍛段緞椴煆籪
tuang1A|31,湍
tuang1B|24,團糰
luang1B|24,鸞臠鑾巒孿媛灤欒孌
luang2|212,暖卵
luang3|44,亂
zuang1A|31,鑽
zuang3|44,賺鑽纂攥
cuang1A|31,汆攛躥
cuang3|44,竄篡
suang1A|31,酸
suang3|44,算蒜
